iter	Passed	Remaining
558	13011	10264
559	13034	10241
560	13055	10216
561	13075	10190
562	13100	10168
563	13119	10142
564	13140	10116
565	13160	10091
566	13187	10071
567	13212	10048
568	13237	10026
569	13262	10004
570	13280	9977
571	13306	9956
572	13331	9934
573	13351	9908
574	13369	9881
575	13393	9859
576	13413	9833
577	13437	9811
578	13454	9783
579	13472	9755
580	13492	9730
581	13515	9706
582	13533	9680
583	13553	9654
584	13577	9631
585	13592	9603
586	13610	9576
587	13630	9550
588	13656	95589589	13677	95590590	13698	94591591	13719	94592592	13741	94593593	13763	9407
594	13793	9389
595	13815	9364
596	13836	9340
597	13856	9314
598	13878	9290
599	13895	9263
600	13915	9238
601	13938	9215
602	13961	9192
603	13983	9167
604	14005	9143
605	14026	9119
606	14048	9095
607	14069	9071
608	14093	9048
609	14114	9023
610	14140	9002
611	14159	8977
612	14182	8953
613	14204	8929
614	14226	8905
615	14249	8883
616	14277	8862
617	14305	8842
618	14329	8819
619	14351	8796
620	14376	8774
621	14396	8749
622	14413	8722
623	14438	8700
624	14462	8677
625	14487	8655
626	14509	8631
627	14529	8606
628	14550	8582
629	14570	8557
630	14591	8532
631	14611	85632632	14636	8485
633	14660	8463
634	14685	84635635	14712	8420
636	14730	83637637	14750	8369
638	14772	83639639	14796	83640640	14820	83641641	14845	8278
642	14872	8257
643	14898	8235
644	14919	8211
645	14941	81646646	14962	81647647	14984	81648648	15006	8116
649	15027	8091
650	15047	8066
651	15066	8041
652	15082	8014
653	15102	79654654	15125	79655655	15144	79656656	15164	79657657	15181	78658658	15203	78659659	15223	78660660	15239	78661	15258	7790
662	15278	7765
663	15296	7740
664	15317	7716
665665	15343	76666	15357	7667
667667	15386	76668	15402	7620
669669	15430	75670670	15451	75671	15465	7548
672	15483	7523
673	15508	7501
674	15525	7475
675	15542	7449
676	15558	7422
677	15577	7398
678	15598	7374
679	15616	7349
680	15638	7325
681	15661	7302
682	15682	7278
683	15705	7255
684	15723	7230
685	15743	7206
686	15765	7182
687	15784	7158
688	15805	7134
689	15827	7110
690	15849	7087
691	15867	7062
692	15891	7039
693	15916	7018
694	15939	6994
695	15957	6970
696	15979	6946
697	15997	6921
698	16015	6896
699	16036	6872
700	16061	6850
701	16079	6825
702	16099	6801
703	16122	6778
704	16144	6755
705	16164	6731
706	16186	6708
707	16209	6685
708	16243	6666
709	16274	6647
710	16297	6624
711	16322	6602
712	16343	6578
713	16378	6560
714	16427	6547
715	16470	6533
716	16510	6516
717	16572	6509
718	16609	6491
719	16641	6471
720	16685	6456
721	16714	6435
722	16735	6411
723	16760	6389
724	16787	6367
725	16816	6346
726	16855	6329
727	16890	6310
728	16919	6289
729	16950	6269
730	16976	6247
731	17004	6225
732	17023	6200
733	17045	6177
734	17063	6152
735	17086	6128
736	17115	6107
737	17142	6085
738	17166	6063
739	17188	6039
740	17228	6021
741	17265	6003
742	17282	5977
743	17299	5952
744	17318	5927
